Ano/Semestre Disciplina,turno_predominante,media_das_medias,desvio_padrao_das_medias
2009/1,NOITE,5.45,2.1920310216782974
2009/1,TARDE,10.0,0.0
2010/1,MANHA,3.1559999999999997,1.9055655328536985
2010/1,NOITE,0.9,0.04242640687119289
2010/1,TARDE,3.2675,1.374369552437286
2011/1,MANHA,2.2333333333333334,0.9733618717277421
2011/1,NOITE,2.205,0.0212132034355966
2011/1,TARDE,1.9,1.979898987322333
2011/2,NOITE,1.1833333333333333,1.032392044396572
2011/2,TARDE,3.7275,1.7514827052148323
2011/2,MANHA,2.83,1.1025651908163978
2012/1,MANHA,3.3733333333333335,0.7385842312605021
2012/1,NOITE,2.78,1.2186467905016614
2012/1,TARDE,1.71,1.8420912029538603
2012/2,MANHA,3.4583333333333335,1.6586550776658382
2012/2,NOITE,2.856666666666667,0.9617345441094094
2012/2,TARDE,6.26,0.0
2013/1,TARDE,2.395,1.26572113832392
2013/1,MANHA,4.191666666666666,1.759766082940192
2013/1,NOITE,3.49,1.4283556979968262
2013/2,TARDE,2.7675,2.1392113032610878
2013/2,MANHA,2.642857142857143,1.1673861726911436
2013/2,NOITE,1.2300000000000002,1.0250365847129554
2014/1,MANHA,3.1174999999999997,2.2839202408724053
2014/1,NOITE,0.83,0.0
2014/1,TARDE,2.74,0.15556349186104076
2014/2,MANHA,2.97,2.4316989945303673
2014/2,NOITE,1.7766666666666666,1.0566140891230504
2014/2,TARDE,3.5366666666666666,2.50080653656642
2015/1,TARDE,3.1483333333333334,3.2775137935128
2015/1,MANHA,2.674,1.6344815691833299
2015/1,NOITE,2.755,1.930401512639275
2015/2,MANHA,3.2960000000000003,2.8436648888362357
2015/2,NOITE,2.3275,0.41120757126622404
2015/2,TARDE,4.1659999999999995,3.9212855035051963
2016/1,MANHA,2.795,1.6965700692868537
2016/1,NOITE,2.97,0.7071067811865476
2016/1,TARDE,2.62,3.097364471073216
2016/2,NOITE,5.17,3.927378260366577
2016/2,MANHA,1.9266666666666667,1.211555474036029
2016/2,TARDE,4.217142857142857,2.653819350079644
2017/1,NOITE,4.0,4.002224381515859
2017/1,MANHA,3.572,1.7363956922314683
2017/2,MANHA,2.14,1.4558021843643456
2017/2,NOITE,4.1825,3.168599848513536
2017/2,TARDE,4.845,3.00879211644806
2018/1,MANHA,3.1666666666666665,2.1580237873264205
2018/1,NOITE,3.456666666666667,3.2354494793356507
2018/1,TARDE,5.742,3.041039296030224
2018/2,NOITE,1.1,0.663023378170031
2018/2,TARDE,4.274,2.0673122647534408
2018/2,MANHA,1.82,1.7232333949100838
2019/1,MANHA,4.234999999999999,2.483321508441006
2019/1,NOITE,3.0500000000000003,2.128755504984074
2019/1,TARDE,3.47,1.3162978386368338
2019/2,MANHA,3.1566666666666663,2.912268302658027
2019/2,NOITE,2.7433333333333336,2.1905326597276136
2019/2,TARDE,4.396,1.9905602226508998
2020/1,TARDE,5.321428571428571,2.3832990340522286
2020/1,MANHA,3.2533333333333334,2.4892622735795977
2020/1,NOITE,4.835,2.53582925292694
2020/2,TARDE,4.881666666666667,2.579266691652235
2020/2,MANHA,3.96,1.3597058505426827
2020/2,NOITE,5.2725,1.1268651205889724
2021/1,MANHA,4.305,2.533469952456512
2021/1,NOITE,4.042,1.2177520273027673
2021/1,TARDE,6.035714285714286,1.551739423387586
2021/2,MANHA,3.1916666666666664,1.8635494806059394
2021/2,NOITE,5.144285714285714,1.6782218480965416
2021/2,TARDE,4.1362499999999995,2.2434026292983735
2022/1,TARDE,2.71,1.7552777557982098
2022/1,MANHA,4.513333333333333,1.8995332760093113
2022/1,NOITE,2.57,1.7665927657499336
2022/2,MANHA,2.2416666666666667,1.5796508052942162
2022/2,NOITE,2.1425,1.1807730518605175
2022/2,TARDE,3.2625,2.123627287718553
2023/1,MANHA,2.85,0.9962429422585638
2023/1,NOITE,3.7914285714285714,2.139847569115057
2023/1,TARDE,3.49625,1.6416362699627292
2023/2,NOITE,3.168333333333333,2.5487990636114626
2023/2,MANHA,3.04,1.6313567972702967
2023/2,TARDE,2.9842857142857144,1.8809647980301416
2024/1,NOITE,5.55,3.6062445840513924
2024/1,MANHA,4.165,1.8644650707374488
2024/1,TARDE,3.203333333333333,1.8763226446074424
